emp_no,first_name,last_name,from_date,to_date,title
77157,Tesuro,Nicolson,1996-06-01,1999-10-20,Staff
77303,Xinglin,Birge,2001-03-05,9999-01-01,Senior Staff
77647,Niranjan,Schaaf,1989-11-05,9999-01-01,Technique Leader
77815,Ronghao,Picaronny,2002-06-09,9999-01-01,Engineer
78086,Fabrizio,Anick,1997-12-16,1998-05-02,Staff
78106,Ashish,Ratnaker,1986-11-10,9999-01-01,Senior Staff
78171,Teiji,Hinsberger,1997-01-25,2002-05-18,Senior Staff
78363,Susumu,Fritzsche,1998-06-23,9999-01-01,Engineer
78469,Leucio,Cappelli,1997-08-22,9999-01-01,Staff
78871,Conor,Ghandeharizadeh,1985-05-25,9999-01-01,Senior Engineer
79043,Katsuo,Hockney,1999-11-07,9999-01-01,Technique Leader
79171,Guiseppe,Ellozy,1991-01-12,9999-01-01,Senior Engineer
79190,Tsuneo,Servi,1999-06-30,2001-06-02,Staff
79239,Denny,Griswold,1989-05-18,2001-11-19,Senior Engineer
79310,Jeong,Cunliffe,1996-10-27,9999-01-01,Senior Staff
79606,Arnd,Peir,1986-12-11,9999-01-01,Senior Engineer
79640,Marl,Litzkow,1991-10-12,1993-10-22,Staff
79722,Make,Remmers,1997-08-07,1998-08-08,Staff
79763,Sanjoy,Barreiro,1996-04-09,9999-01-01,Senior Staff
79895,Fei,Murtagh,1986-01-19,9999-01-01,Senior Staff
80067,Kazuhisa,Weiland,1991-11-09,9999-01-01,Senior Staff
80203,Shakhar,Baik,1993-12-01,9999-01-01,Staff
80432,Stella,Figueira,1998-03-14,9999-01-01,Senior Staff
80656,Kwan,Gide,1998-06-24,2001-07-01,Engineer
80731,Shaowen,Eldridge,1994-12-05,9999-01-01,Senior Staff
80745,Rimli,Huttel,1989-12-14,1996-11-29,Staff
80850,Koldo,Luit,2001-04-15,9999-01-01,Senior Engineer
80889,Shigeo,Linnainmaa,1985-07-30,9999-01-01,Senior Engineer
80948,Harjit,Bardell,1996-05-23,9999-01-01,Senior Engineer
81105,Jaewon,Boissier,1998-05-24,9999-01-01,Senior Engineer
81162,Marco,Klerer,1999-11-01,2001-02-02,Senior Engineer
81545,Larisa,Kornyak,1996-03-10,9999-01-01,Technique Leader
81619,Gen,Aloisi,1993-03-12,2002-07-25,Senior Engineer
81644,Divine,Ghandeharizadeh,1997-11-28,9999-01-01,Staff
81995,Sreekrishna,Brender,1996-03-21,9999-01-01,Senior Engineer
82069,Yechezkel,Perfilyeva,2000-11-02,9999-01-01,Senior Engineer
82098,Poornachandra,Wilharm,1998-04-20,9999-01-01,Senior Engineer
82351,Stevo,Thambidurai,1989-10-27,9999-01-01,Senior Staff
82511,Uwe,Koblick,1998-04-04,9999-01-01,Engineer
82919,Shigeu,Claffy,1998-02-03,9999-01-01,Engineer
82928,Alselm,Rikino,1997-11-16,9999-01-01,Senior Engineer
83280,Francesca,Ellozy,1999-08-08,9999-01-01,Senior Engineer
83289,Shigeichiro,Engelmann,2000-01-09,9999-01-01,Senior Engineer
83509,Breannda,Collavizza,1994-10-12,9999-01-01,Senior Engineer
83544,Leaf,Baak,2001-09-05,9999-01-01,Senior Staff
83714,Ohad,Kilgore,1997-07-01,9999-01-01,Senior Engineer
83805,Manohar,Harllee,1987-03-11,9999-01-01,Senior Engineer
83922,Shunichi,Solovay,1995-06-07,1998-11-18,Senior Engineer
83941,Zsolt,Hagimont,2001-10-08,9999-01-01,Senior Staff
84029,Babette,Eugenio,1997-09-21,9999-01-01,Staff
84163,Zejun,Roisin,1997-05-26,2002-01-16,Senior Staff
84179,Shuichi,Nanard,1989-03-14,9999-01-01,Senior Engineer
84236,Eberhardt,Barriga,1993-06-03,9999-01-01,Senior Staff
84256,Denny,Cheshire,1989-11-23,1992-08-08,Staff
84315,Kristina,Baumann,1996-09-26,9999-01-01,Assistant Engineer
84451,Shiv,Aumann,1998-06-14,9999-01-01,Senior Engineer
84494,Janalee,Loncour,1986-04-12,1987-09-04,Staff
84508,Tommaso,Vidya,1998-05-02,9999-01-01,Engineer
84840,Sverrir,Neimat,1996-11-03,9999-01-01,Staff
84922,Parke,Unno,1996-07-01,9999-01-01,Engineer
84942,Shin,Fujisaki,1988-02-23,9999-01-01,Technique Leader
85216,Ferdinand,Rosiles,1997-07-08,9999-01-01,Senior Staff
85288,Younwoo,Luders,2002-03-31,9999-01-01,Senior Engineer
85414,Chiradeep,Callaway,1999-07-30,9999-01-01,Staff
85445,Yongdong,Pollock,1998-03-17,9999-01-01,Staff
85702,Udi,Merks,1997-08-15,9999-01-01,Engineer
85874,Pasqua,Taubman,1986-06-23,9999-01-01,Senior Staff
86213,Kristine,Clemencon,1996-04-21,9999-01-01,Senior Staff
86324,Maia,Berstel,1993-07-17,2002-01-13,Senior Engineer
86354,Ronghao,Segond,1993-09-13,9999-01-01,Senior Engineer
86422,Jaewon,Thummel,1992-09-14,9999-01-01,Senior Staff
86546,Oldrich,Woycyznski,1990-05-15,9999-01-01,Senior Engineer
86655,Zhenhua,Lorys,1995-08-21,9999-01-01,Engineer
86672,JoAnne,Anido,1995-09-15,9999-01-01,Staff
87129,Keung,Neiman,1997-04-13,9999-01-01,Staff
87353,Quingbo,Coombs,1999-01-17,9999-01-01,Senior Engineer
87458,Mikhail,Gimbel,1993-12-22,1999-04-29,Senior Staff
87714,Khun,Janetzko,1998-09-13,9999-01-01,Engineer
87729,Yongmin,Roccetti,1991-12-10,9999-01-01,Senior Staff
87783,Conor,Thorensen,1988-02-24,9999-01-01,Senior Engineer
88103,Goo,Bresenham,1999-01-31,9999-01-01,Senior Staff
88357,Manohar,Karcich,1998-08-07,2000-08-22,Staff
88411,Lena,Cannane,2000-01-28,9999-01-01,Engineer
88422,Jungsoon,Birsak,1985-04-03,9999-01-01,Technique Leader
88647,Vasiliy,Ratnaker,1995-08-09,9999-01-01,Engineer
88958,Vojin,Coombs,2002-07-23,9999-01-01,Senior Staff
88965,Mang,Hedayat,1995-05-22,9999-01-01,Engineer
89048,Otmar,Birjandi,1992-03-23,9999-01-01,Senior Engineer
89090,Tetsushi,Theuretzbacher,1995-02-01,9999-01-01,Senior Staff
89161,Conal,Yetto,1999-01-12,9999-01-01,Senior Staff
89207,Along,Erol,1999-10-17,9999-01-01,Senior Staff
89346,Mansur,Comyn,1999-08-31,9999-01-01,Engineer
89487,Kazuhira,Seiwald,1995-03-25,1999-03-24,Engineer
89590,Guther,Rothenberg,2000-08-07,9999-01-01,Senior Staff
89664,Pranjal,Rossi,1998-07-07,9999-01-01,Staff
89680,Aiman,Mawatari,1997-05-01,9999-01-01,Senior Engineer
89806,Xiadong,Shinomoto,2002-05-24,9999-01-01,Senior Engineer
89922,Alexius,Ibel,1993-04-24,9999-01-01,Senior Engineer
89941,Arnould,Weedman,1989-07-28,9999-01-01,Senior Staff
90077,Vivian,Guerreiro,1998-07-08,9999-01-01,Engineer
90084,Renny,Bale,1996-11-22,9999-01-01,Senior Engineer
90116,Brigham,Luiz,1990-04-10,1995-06-10,Assistant Engineer
90211,Bader,Denis,1997-10-06,9999-01-01,Engineer
90292,Koichi,Assaf,1998-05-26,9999-01-01,Senior Engineer
90366,Magy,Eiron,1998-08-03,2002-03-03,Senior Staff
90518,Fumiko,Chepyzhov,1997-01-27,9999-01-01,Senior Staff
90614,Yonghoan,Trogemann,1997-09-23,9999-01-01,Engineer
90692,Rajmohan,DasSarma,1990-09-14,9999-01-01,Senior Staff
91172,Kazuhisa,Melter,1993-07-15,9999-01-01,Senior Staff
91182,Lucien,Schwartzburd,1994-08-25,9999-01-01,Senior Engineer
91229,Yahiko,Hebden,2001-10-03,9999-01-01,Senior Engineer
91256,Gunilla,Milicic,1998-01-09,9999-01-01,Staff
91308,Remmert,Plumb,1993-06-14,1995-12-08,Senior Engineer
91333,Lobel,Stafford,1998-11-29,9999-01-01,Staff
91415,Jamaludin,Nilsson,1994-01-15,9999-01-01,Senior Staff
91462,Siamak,Janocha,1997-08-26,1998-03-21,Engineer
91648,Dmitry,Msuda,1997-10-22,9999-01-01,Senior Staff
91934,Nikolaus,Swen,2000-01-28,2002-07-03,Engineer
91973,Jianwen,Jakobus,1998-08-24,2001-02-12,Senior Engineer
92438,Aria,Kilgore,1996-02-28,9999-01-01,Senior Engineer
92443,Girolamo,Bellmore,1996-12-04,2000-04-27,Senior Staff
92454,Visit,McFarlan,1996-10-21,9999-01-01,Senior Engineer
92577,Zhanqiu,Farrow,1999-01-10,9999-01-01,Assistant Engineer
92598,Ranga,Merro,1996-05-11,9999-01-01,Assistant Engineer
92685,Mang,Atchley,1995-06-07,9999-01-01,Senior Staff
92841,Claude,Candan,1993-08-04,9999-01-01,Senior Staff
92846,Anyuan,Kropatsch,1993-09-05,9999-01-01,Senior Staff
92920,Huei,Hutter,2000-01-29,9999-01-01,Senior Engineer
93040,Jaques,Kabayashi,1992-03-13,9999-01-01,Senior Engineer
93220,Richara,Walston,1996-08-27,9999-01-01,Senior Engineer
93278,Magdalena,Penn,2002-01-04,9999-01-01,Senior Engineer
93549,Arie,Coullard,1998-04-15,9999-01-01,Senior Staff
93600,Kristina,Neimat,1988-04-18,9999-01-01,Technique Leader
93794,Rimli,Werthner,2000-05-26,2000-12-30,Senior Engineer
94045,Gift,Brender,1996-10-31,2000-01-02,Senior Engineer
94131,Bernardo,Vasanthakumar,1997-05-01,1997-07-20,Staff
94331,Ramzi,Cronau,1999-09-03,9999-01-01,Technique Leader
94416,Aran,Cesareni,1990-02-10,9999-01-01,Senior Staff
94442,Bilhanan,Marrakchi,1998-02-03,2000-10-12,Staff
94690,Kazuyasu,Sridhar,1999-12-22,2001-12-03,Staff
94761,Hitofumi,Zaccaria,1997-11-22,9999-01-01,Senior Engineer
94787,Shigenori,Stanfel,1993-04-25,1999-12-11,Staff
94944,Heping,Matheson,1997-06-24,9999-01-01,Senior Engineer
95181,Yishai,Cappelli,1997-01-30,9999-01-01,Staff
95286,Kristin,Guerreiro,1997-08-23,9999-01-01,Senior Engineer
95314,Rasiah,Koblick,1999-08-21,9999-01-01,Senior Staff
95406,Alair,Lyonns,1997-07-12,9999-01-01,Engineer
95416,Gianluca,Ramaiah,1993-11-29,9999-01-01,Engineer
95509,Kristinn,Loncour,1995-02-08,9999-01-01,Engineer
95692,Abdulah,Hofstetter,1999-11-24,2000-07-24,Engineer
95920,Nobuyoshi,Hegner,2001-09-07,9999-01-01,Senior Staff
96100,Pranay,Rebaine,1998-02-01,2000-12-31,Senior Engineer
96571,Kokou,Garrabrants,1997-11-05,9999-01-01,Senior Engineer
96579,Mohan,Tasistro,1996-02-10,9999-01-01,Engineer
96767,Arumugam,Vecchio,1992-08-14,9999-01-01,Senior Engineer
97018,Jeanna,Chinen,1994-01-01,9999-01-01,Senior Engineer
97092,Anwar,Riexinger,1997-12-30,2000-01-09,Senior Engineer
97623,Haldon,Janetzko,1996-09-10,9999-01-01,Senior Staff
97661,Avishai,Hegner,2002-05-08,9999-01-01,Senior Staff
97697,Moie,Karunanithi,1995-02-07,2000-12-15,Senior Engineer
98288,Sumali,Huttel,1997-09-12,9999-01-01,Senior Staff
98306,Ziya,Kadhim,1995-11-02,9999-01-01,Senior Engineer
98514,Giao,Junot,1999-07-01,2002-02-25,Staff
98639,Florina,Assaf,1996-05-18,9999-01-01,Staff
99057,Shugo,Reeken,1999-06-21,9999-01-01,Staff
99373,Xiaobin,Christianini,1991-12-25,9999-01-01,Senior Staff
99377,Carrsten,Francisci,1991-06-16,9999-01-01,Senior Engineer
99590,Dhritiman,Anily,1998-12-16,9999-01-01,Staff
99654,Mahendra,Motley,1992-09-28,9999-01-01,Senior Staff
100865,Hisao,Peral,1998-10-03,9999-01-01,Senior Engineer
100877,Kazuhide,Harnett,1995-02-02,1999-02-13,Engineer
100916,Heejo,Aamodt,2001-04-22,9999-01-01,Senior Engineer
101063,Nectarios,Munos,1994-08-31,1995-08-14,Senior Engineer
101487,Abdelaziz,Sury,1999-01-31,9999-01-01,Senior Staff
101647,Mori,Homond,2000-05-09,9999-01-01,Senior Staff
101902,Mantis,Millington,1997-03-17,9999-01-01,Senior Staff
102620,Adin,Templeman,1997-12-10,9999-01-01,Engineer
103166,Waiman,Dalton,1999-05-25,2002-02-09,Senior Engineer
103172,Doowon,Highland,1995-03-09,1995-11-23,Senior Engineer
103196,Djenana,Albarhamtoshy,1993-07-16,9999-01-01,Senior Staff
103310,Visit,Swen,2000-10-01,9999-01-01,Senior Staff
103316,Susanne,Peternell,1999-07-27,9999-01-01,Senior Engineer
103342,Beshir,Hellwagner,1998-02-03,9999-01-01,Engineer
103756,Heping,Halloran,2001-04-08,9999-01-01,Engineer
104133,Pranjal,Zyda,1998-07-03,9999-01-01,Senior Staff
104845,Werner,Lodder,1998-06-17,9999-01-01,Senior Staff
104962,Zongyan,Auyong,1987-11-02,1991-12-22,Engineer
104988,Parviz,Litzler,1999-08-09,9999-01-01,Senior Engineer
105191,Jaber,Kleiser,1986-12-13,1987-09-22,Engineer
105342,Kwun,Reeker,1999-07-29,9999-01-01,Technique Leader
105356,Diederik,Matzov,1996-05-12,9999-01-01,Senior Engineer
105432,Mohamadou,Stafford,2000-09-11,9999-01-01,Senior Engineer
105520,Haldun,Lienhardt,1987-01-29,9999-01-01,Senior Staff
105589,Yechiam,Egerstedt,1995-12-31,1999-07-18,Engineer
105731,Sachem,Cromarty,1996-08-19,9999-01-01,Engineer
105936,Vidar,Thibadeau,1995-03-02,1999-09-15,Staff
106096,Naftali,Schurmann,1999-12-03,9999-01-01,Senior Engineer
106242,Nevio,Thisen,1994-03-25,9999-01-01,Senior Staff
106514,Otilia,Speek,1988-07-30,1992-11-07,Senior Engineer
106695,Lijie,Garrabrants,1990-10-02,9999-01-01,Senior Staff
106710,Babette,Anandan,1993-11-22,9999-01-01,Senior Staff
106958,Horward,Begiun,1992-11-06,2002-05-22,Senior Engineer
107486,Siamak,Luiz,1987-02-11,9999-01-01,Senior Engineer
107737,Fabrizio,Chleq,1999-07-31,9999-01-01,Senior Engineer
107792,Shahab,Crooks,2001-03-18,9999-01-01,Senior Staff
107828,Ramya,Walston,1995-02-03,9999-01-01,Senior Staff
108091,Hisao,Ghemri,1990-11-14,9999-01-01,Senior Staff
108198,Randi,Samarati,1999-10-21,9999-01-01,Senior Staff
108316,Shai,Stellhorn,1992-05-21,9999-01-01,Senior Engineer
108988,Oksana,Baek,1997-07-20,9999-01-01,Senior Staff
109062,Jamaludin,Kandlur,1992-06-19,9999-01-01,Senior Engineer
109211,Gor,Delgrande,2001-11-06,9999-01-01,Senior Engineer
109252,Moty,Winter,1991-04-28,9999-01-01,Technique Leader
109278,Bangqing,Schach,1996-03-22,9999-01-01,Senior Staff
109547,Chenye,Zizka,1994-02-22,2002-04-21,Senior Staff
109552,Menkae,Etalle,2002-05-21,9999-01-01,Engineer
109553,Xiaobin,DuBourdieux,1985-09-16,1988-05-11,Staff
109598,Stamatina,Auyong,1988-07-05,9999-01-01,Senior Staff
109611,Jamaludin,Lalonde,1994-07-09,1998-08-24,Staff
109620,Mani,Cannata,1995-06-21,9999-01-01,Senior Staff
109652,Huan,Perko,1993-07-31,1999-03-12,Senior Staff
109703,Arco,Walston,1999-08-16,9999-01-01,Engineer
109741,Hatem,Fadgyas,1991-11-13,9999-01-01,Senior Engineer
109953,Godehard,Chorvat,1996-04-10,9999-01-01,Senior Staff
200052,Slavian,Cincotta,1992-05-30,1997-07-07,Senior Engineer
200176,Shahab,Luit,1994-11-20,1997-02-05,Senior Staff
200267,Chuanti,Luff,2000-09-20,9999-01-01,Senior Staff
200312,Akemi,Fujisaki,1998-06-25,9999-01-01,Senior Engineer
200363,Kirk,Quaggetto,1995-06-30,9999-01-01,Senior Engineer
200735,Dinah,Denos,2001-09-21,9999-01-01,Senior Staff
200789,Susumu,Camurati,1997-12-14,9999-01-01,Senior Staff
201180,Odinaldo,Bridgland,1989-06-09,1995-06-16,Assistant Engineer
201229,Alejandra,Khasidashvili,1994-07-30,9999-01-01,Staff
201708,Anneli,Perl,2000-09-08,9999-01-01,Senior Staff
201709,Fan,Kakkad,1993-02-24,9999-01-01,Senior Staff
201739,Genta,Terekhov,1998-07-21,9999-01-01,Assistant Engineer
201801,Waiman,Genin,1995-10-30,9999-01-01,Senior Engineer
201915,Sudharsan,DeMori,1997-03-30,9999-01-01,Senior Engineer
202031,Annemarie,Peternell,1994-03-13,1997-06-05,Engineer
202291,Ortrun,Schmiedel,1997-07-18,9999-01-01,Engineer
202403,Gully,Perko,1999-07-07,9999-01-01,Engineer
202414,Zvonko,Murthy,1992-01-07,9999-01-01,Senior Staff
202552,Morris,Saoudi,1998-11-22,9999-01-01,Senior Engineer
202581,Dharmaraja,Merlo,1987-06-05,1990-12-16,Staff
202826,Kerhong,Matzke,1993-11-14,9999-01-01,Senior Engineer
202882,Isaac,Koshino,1995-09-28,9999-01-01,Senior Engineer
202950,Giordano,Pietrzykowski,1987-03-26,9999-01-01,Senior Staff
203474,Hugh,Jonsson,1997-07-05,9999-01-01,Senior Staff
203495,Zongyan,Gips,1997-05-31,9999-01-01,Technique Leader
203599,Ewing,DiGiano,2000-02-01,9999-01-01,Technique Leader
203697,Claude,Kemmerer,1994-01-16,2001-05-07,Engineer
203720,Sasan,Thimonier,1996-08-21,9999-01-01,Senior Staff
203946,Yefim,Marwedel,1999-03-30,9999-01-01,Senior Staff
204117,Jessie,Nooteboom,1999-08-13,9999-01-01,Staff
204133,Susuma,Bergere,1996-02-25,9999-01-01,Senior Staff
204246,Arve,Worfolk,1990-04-01,9999-01-01,Senior Staff
204425,Gretta,Huttel,1990-10-08,9999-01-01,Senior Engineer
204470,Hein,Lichtner,2001-04-02,9999-01-01,Senior Staff
204471,Franziska,Maginnis,1992-02-17,9999-01-01,Senior Engineer
204764,Susanne,Mandelberg,1996-11-01,9999-01-01,Senior Engineer
205018,Yahiko,Awdeh,1998-08-05,9999-01-01,Engineer
205085,Moni,Kornyak,1991-09-26,9999-01-01,Technique Leader
205174,Leszek,Spinelli,1998-12-10,9999-01-01,Staff
205362,Masasuke,Makinen,1992-07-02,1997-06-01,Staff
205500,Mary,Setiz,1989-01-13,9999-01-01,Senior Engineer
205627,Stabislas,Broder,2001-07-16,9999-01-01,Senior Engineer
205660,Kien,Barreiro,1997-08-25,9999-01-01,Staff
205699,Youjian,Yetto,2000-12-06,9999-01-01,Senior Staff
205789,Limsoon,Skafidas,1999-08-10,9999-01-01,Senior Staff
205863,Aiichiro,Kusalik,1996-10-03,9999-01-01,Senior Engineer
206372,Temple,Joslin,1993-01-05,1996-04-24,Engineer
206748,Yucai,Fabrizio,1999-10-06,9999-01-01,Staff
206836,Guadalupe,Pfau,2001-03-22,9999-01-01,Senior Staff
206865,Vasilii,Cochrane,1996-09-12,2001-04-23,Senior Engineer
206966,Tzu,Sichman,1992-11-16,9999-01-01,Senior Engineer
207021,Jacqueline,Akaboshi,1997-12-06,9999-01-01,Engineer
207068,Zhiguo,Ariola,1994-09-07,9999-01-01,Senior Staff
207204,Kellie,Schrooten,1999-01-17,9999-01-01,Engineer
207401,Shuji,Barbanera,1993-08-09,9999-01-01,Senior Staff
207551,Baziley,Falck,1995-02-18,9999-01-01,Assistant Engineer
207779,Chinya,Kamble,1992-05-31,9999-01-01,Senior Staff
207980,Remko,Vieth,1999-11-22,9999-01-01,Senior Staff
208147,Manu,Rothenberg,1995-12-07,9999-01-01,Senior Engineer
208330,Shen,Flanders,1997-07-03,9999-01-01,Senior Staff
208639,Larisa,Lukaszewicz,1994-10-10,9999-01-01,Senior Staff
208653,Phillip,Schade,1998-03-03,9999-01-01,Senior Engineer
208784,Pranjal,Juneja,1985-03-21,9999-01-01,Senior Engineer
209101,Xinyu,Edelhoff,1997-10-26,9999-01-01,Senior Engineer
209443,Krassimir,Garnier,1998-01-26,9999-01-01,Senior Staff
209456,Adhemar,Leonhardt,1998-11-01,1999-12-30,Engineer
209565,Dante,Covnot,1998-05-28,9999-01-01,Senior Staff
209681,Tianruo,Bratten,1996-07-28,1998-04-03,Senior Staff
209712,Nimmagadda,Baak,1995-10-30,9999-01-01,Engineer
209945,Roded,Veevers,1990-10-23,1996-01-08,Engineer
210017,Shalesh,Lovengreen,1996-09-28,9999-01-01,Senior Staff
210292,Lihong,Zeilberger,1996-04-28,9999-01-01,Staff
210449,Gino,Lagarias,1997-06-22,9999-01-01,Engineer
210529,Adam,Besancenot,1990-09-27,1995-02-04,Senior Staff
210610,Arco,Crouzet,2000-09-02,2000-09-30,Engineer
210752,Saniya,Stenning,1991-12-10,9999-01-01,Senior Staff
210786,Werner,Ranze,1998-06-05,9999-01-01,Staff
211569,Zhonghua,Snyers,1994-10-08,1999-07-18,Senior Staff
211858,Domenico,Ratnaker,1993-03-24,9999-01-01,Senior Engineer
211879,Gao,Ranze,1999-11-24,9999-01-01,Senior Engineer
211967,Anwar,Bain,1998-01-22,9999-01-01,Senior Engineer
212074,Tomokazu,Byoun,1996-07-30,2002-04-08,Engineer
212093,Leni,Henders,1999-11-19,9999-01-01,Senior Staff
212131,Debatosh,Rajala,1994-01-19,1994-04-22,Staff
212154,Sailaja,Holburn,1997-03-03,9999-01-01,Senior Staff
212361,Claudi,Stanfel,2001-01-06,9999-01-01,Senior Engineer
212703,Kien,Bennis,1993-01-06,1998-03-14,Engineer
212810,Qingxiang,Swan,1997-10-04,2002-03-13,Senior Staff
213016,Yongmao,Fontan,1998-07-26,9999-01-01,Senior Engineer
213140,Tru,Danecki,1997-03-31,9999-01-01,Staff
213384,Pranas,Narwekar,1993-09-26,9999-01-01,Senior Engineer
213447,Armond,Perly,1996-09-14,9999-01-01,Senior Engineer
214184,Sivanarayana,Ranka,1999-10-25,2001-05-03,Engineer
214215,Xiaoqiang,Cardazo,1993-05-28,9999-01-01,Senior Staff
214391,Rayond,Klassen,1999-09-11,9999-01-01,Senior Staff
214427,Peer,Molberg,1996-11-17,9999-01-01,Engineer
214539,Ingmar,Kohling,1995-04-25,9999-01-01,Engineer
214634,Shirish,Vickson,1997-10-24,9999-01-01,Senior Engineer
214789,Arfst,Chepyzhov,1997-02-06,9999-01-01,Senior Engineer
214807,Prasadram,Qiwen,1997-09-04,1997-11-25,Engineer
214866,Gopalakrishnan,Angel,2002-07-05,9999-01-01,Senior Engineer
214995,Dinkar,Hoppenstand,1994-05-04,9999-01-01,Engineer
215419,Flemming,Kroha,1995-01-23,9999-01-01,Staff
215629,Munehiro,Manders,1995-05-18,9999-01-01,Senior Staff
215746,Sven,Speer,1999-07-08,9999-01-01,Staff
215843,Pramod,Loncour,1993-03-30,9999-01-01,Senior Staff
216054,Sahrah,Angiulli,1991-07-31,9999-01-01,Senior Staff
216062,Shuichi,Anick,1992-11-24,1999-10-26,Senior Engineer
216246,Francoise,Rullman,1997-12-30,2000-01-12,Staff
216342,Aiichiro,Cromarty,2000-06-09,9999-01-01,Senior Engineer
216375,Byong,Gustavson,1985-03-12,9999-01-01,Senior Engineer
216502,Xiaocheng,Suermann,1997-12-15,9999-01-01,Engineer
216573,Ashish,Vidya,1995-06-16,9999-01-01,Senior Engineer
216921,Lena,Lenart,1995-12-25,9999-01-01,Senior Staff
217026,Otmar,Engberts,1998-08-16,9999-01-01,Senior Staff
217080,Masami,Puoti,2000-01-21,9999-01-01,Senior Engineer
217272,Yuchang,Eldridge,1991-08-01,9999-01-01,Senior Staff
217286,Yannik,Spelt,1992-09-22,9999-01-01,Technique Leader
217320,Abdelwaheb,Denis,1993-09-10,9999-01-01,Engineer
217363,Horward,Marzano,1996-04-11,9999-01-01,Staff
217387,Jianhao,Molenaar,1994-10-22,9999-01-01,Senior Engineer
217551,Panayotis,Lukaszewicz,1995-06-06,9999-01-01,Senior Engineer
217800,Shay,Servieres,1998-08-06,9999-01-01,Senior Staff
218022,Mokhtar,Poupard,1992-02-02,9999-01-01,Technique Leader
218100,Jiong,Garnham,1999-01-02,9999-01-01,Senior Staff
218299,Almudena,Genin,1993-09-26,2001-11-06,Senior Staff
218829,Eckart,Foong,1989-11-26,1996-01-28,Staff
218831,Unal,DuBourdieux,1996-03-13,9999-01-01,Engineer
219035,Kristine,Bierman,1988-05-13,9999-01-01,Technique Leader
219047,Aemilian,Kusalik,1995-05-27,9999-01-01,Senior Engineer
219052,Marsal,Acton,1995-08-02,9999-01-01,Staff
219417,Subhrajyoti,Denna,1996-07-25,9999-01-01,Staff
219497,Moie,Zastre,1991-10-11,9999-01-01,Technique Leader
219967,Susanna,Reeken,1998-03-16,9999-01-01,Senior Staff
220029,Demos,Asser,1985-11-04,9999-01-01,Senior Engineer
220131,Reinhard,Slaats,1999-06-08,9999-01-01,Senior Engineer
220418,Poorav,Laventhal,1997-08-16,9999-01-01,Staff
220528,Sibyl,Rabehasaina,1998-02-23,9999-01-01,Senior Staff
220582,Poornachandra,Zielinski,2001-02-12,9999-01-01,Senior Staff
220611,Yuping,Babb,2002-01-31,9999-01-01,Senior Staff
220625,Shigenori,Deville,1992-12-24,9999-01-01,Technique Leader
220699,Nahid,Gyimothy,1995-08-18,9999-01-01,Staff
220799,Perla,Orlowska,1990-12-03,9999-01-01,Senior Engineer
221126,Tesuya,dAstous,1995-11-30,9999-01-01,Senior Engineer
221367,Saddek,Farris,1990-11-06,9999-01-01,Senior Staff
221369,Abdulah,Pocchiola,1996-08-28,9999-01-01,Engineer
221435,Djenana,Marrevee,2000-02-06,9999-01-01,Senior Engineer
221699,Szabolcs,Georgatos,1999-08-16,2000-02-06,Engineer
221973,Sangeeta,Kalefeld,1996-06-05,9999-01-01,Senior Staff
222206,Stein,Uludag,1995-01-30,9999-01-01,Senior Staff
222311,Miyeon,Billingsley,1992-12-05,9999-01-01,Senior Engineer
222319,Matt,Chvatal,1994-11-09,9999-01-01,Senior Engineer
222354,Valdiodio,Schlumberger,2001-08-07,9999-01-01,Engineer
222616,Badri,Schapire,1998-01-19,9999-01-01,Assistant Engineer
222701,Lein,Delaune,1990-06-30,1991-09-14,Senior Staff
222770,Kazuhiko,Kushner,1995-08-01,9999-01-01,Senior Engineer
222878,Annemarie,Zallocco,1996-05-27,9999-01-01,Senior Engineer
222926,Limsoon,Erol,1997-12-31,9999-01-01,Senior Engineer
222952,Gopalakrishnan,Suermann,1998-04-30,9999-01-01,Senior Engineer
222998,Leaf,Awdeh,1991-02-20,9999-01-01,Senior Staff
223593,Hidefumi,Moehrke,1998-03-04,9999-01-01,Staff
223595,Chiranjit,Dredge,1999-09-05,9999-01-01,Technique Leader
224135,Annemarie,Bressoud,1998-06-23,9999-01-01,Engineer
224335,Perry,Chachaty,1992-07-22,9999-01-01,Senior Engineer
224390,TRUE,Shobatake,1996-05-17,9999-01-01,Senior Staff
224934,George,Miake,1996-01-02,9999-01-01,Senior Staff
225438,Remmert,Quaggetto,1997-04-28,9999-01-01,Senior Staff
225601,Masasuke,Genin,1999-06-25,9999-01-01,Engineer
225788,Ipke,Kieras,1995-12-18,9999-01-01,Engineer
225867,Ramalingam,Remmele,1999-09-03,9999-01-01,Senior Engineer
225964,Mooi,Cooman,1998-06-07,9999-01-01,Senior Engineer
226216,Giordano,Gini,1993-08-14,9999-01-01,Technique Leader
226227,Herbert,Erva,1995-09-06,9999-01-01,Senior Engineer
227354,Gio,Murtha,1994-11-11,9999-01-01,Senior Engineer
227476,Macha,Schnabel,1996-05-11,9999-01-01,Senior Engineer
227681,Mikhail,Rousseau,1998-11-30,9999-01-01,Staff
227899,Garnik,Luce,1998-09-15,9999-01-01,Staff
227901,Francesca,Azuma,2001-06-08,9999-01-01,Senior Staff
228098,IEEE,Kroll,1997-05-10,9999-01-01,Engineer
228248,Yuriy,Plump,1995-09-09,9999-01-01,Senior Staff
228554,Bilhanan,Brendel,1990-12-23,9999-01-01,Senior Staff
